Date,Close,Percent Change,Volume
10/28/2021,2782.17,0.29%,"5,395,268,627.81"
10/31/2021,2837.62,1.82%,"7,823,226,492.71"
11/1/2021,2819.87,-0.87%,"7,777,510,777.74"
11/2/2021,2843.62,0.73%,"6,073,716,888.38"
11/3/2021,2848.84,-0.01%,"6,553,059,152.26"
11/8/2021,2829.65,-0.86%,"4,420,719,103.13"
11/9/2021,2749.86,-2.82%,"6,527,729,547.47"
11/11/2021,2690.29,-2.17%,"5,119,602,539.69"
11/14/2021,2688.92,-0.05%,"4,096,219,525.40"
11/15/2021,2715.35,0.98%,"4,734,651,443.84"
11/16/2021,2784.58,2.55%,"5,521,650,856.75"
11/17/2021,2801.52,0.61%,"7,379,446,819.65"
11/18/2021,2769.13,-1.16%,"6,271,867,229.84"
11/21/2021,2757.53,-0.42%,"4,357,309,319.33"
11/22/2021,2765.44,0.29%,"3,929,261,627.44"
11/23/2021,2733.14,-1.17%,"4,165,896,577.73"
11/24/2021,2735.01,0.07%,"4,217,415,336.52"
11/25/2021,2731.78,-0.12%,"3,789,709,330.90"
11/28/2021,2651.49,-2.94%,"5,835,135,054.76"
11/29/2021,2629.98,-0.81%,"4,008,937,133.19"
11/30/2021,2628.37,-0.06%,"3,089,041,990.69"
12/1/2021,2633.66,0.20%,"2,742,085,704.34"
12/2/2021,2584.61,-1.86%,"3,413,589,126.02"
12/5/2021,2513.89,-2.80%,"4,090,765,324.93"
12/6/2021,2546.09,1.28%,"4,542,345,271.36"
12/7/2021,2508.91,-1.46%,"3,128,341,700.27"
12/8/2021,2455.81,-2.12%,"2,663,909,619.74"
12/9/2021,2449.97,-0.24%,"2,673,308,791.68"
12/12/2021,2361.27,-3.62%,"3,382,509,520.17"
12/13/2021,2282.01,-3.36%,"3,995,604,177.84"
12/14/2021,2418.85,6.01%,"1,842,647,144.18"
12/15/2021,2414.62,-0.17%,"4,588,390,677.73"
12/16/2021,2376.74,-1.57%,"2,301,751,967.91"
12/20/2021,2358.81,-0.75%,"2,464,689,862.61"
12/21/2021,2415.55,2.41%,"2,383,259,846.99"
12/22/2021,2507.7,3.82%,"4,523,338,143.26"
12/23/2021,2520.23,0.50%,"4,490,266,410.23"
12/26/2021,2591.42,2.82%,"5,173,200,503.38"
12/27/2021,2521.65,-2.69%,"5,607,439,670.68"
12/28/2021,2518.99,-0.11%,"3,125,575,631.56"
12/29/2021,2524.5,0.22%,"3,623,480,291.76"
1/2/2022,2584.91,2.39%,"4,126,980,067.53"
1/3/2022,2616.94,1.12%,"4,533,017,178.58"
1/4/2022,2679.95,2.30%,"4,320,269,827.53"
1/5/2022,2649.2,-1.15%,"4,621,598,582.71"
1/6/2022,2692.47,1.63%,"3,676,846,349.30"
1/9/2022,2765.47,2.71%,"7,101,831,591.11"
1/10/2022,2784.95,0.70%,"7,123,424,035.13"
1/11/2022,2834.13,1.77%,"6,724,526,197.51"
1/12/2022,2803.62,-1.08%,"8,033,212,742.00"
1/13/2022,2857.75,1.93%,"6,669,748,567.76"
1/16/2022,2926.74,2.41%,"9,676,317,059.06"
1/17/2022,2947.38,0.71%,"7,901,890,668.04"
1/18/2022,2936.66,-0.37%,"8,443,419,561.86"
1/19/2022,2898.31,-1.31%,"6,021,311,881.03"
1/20/2022,2931.34,1.14%,"5,773,120,409.18"
1/23/2022,2920.51,-0.37%,"7,030,508,262.97"
1/24/2022,2820.65,-3.42%,"8,888,513,177.57"
1/25/2022,2815.06,0.20%,"5,395,672,627.02"
1/26/2022,2776.65,-1.36%,"4,313,154,042.17"
1/27/2022,2779.98,0.12%,"3,343,413,684.03"
1/30/2022,2885.53,3.80%,"6,324,274,038.57"
1/31/2022,2871.05,-0.50%,"5,154,177,598.09"
2/1/2022,2891.3,0.67%,"6,574,842,418.11"
2/3/2022,2876.74,-0.50%,"8,612,174,162.02"
2/6/2022,2836.17,-1.41%,"5,836,414,510.47"
2/7/2022,2851.86,0.49%,"5,022,017,180.72"
2/8/2022,2835.58,-0.57%,"6,287,217,985.34"
2/9/2022,2813.52,-0.78%,"3,471,109,182.03"
2/10/2022,2801.56,-0.43%,"3,829,533,349.64"
2/13/2022,2700.89,-3.59%,"5,977,214,730.64"
2/14/2022,2700.98,0.00%,"3,684,009,915.07"
2/15/2022,2754.29,1.97%,"3,233,318,614.48"
2/16/2022,2734.44,-0.72%,"3,026,330,784.14"
2/17/2022,2732.52,-0.07%,"2,278,173,660.06"
2/20/2022,2693.1,-1.44%,"4,086,474,828.32"
2/21/2022,2718.51,0.94%,"2,997,681,072.21"
2/22/2022,2735.93,0.64%,"3,212,887,822.12"
2/23/2022,2720.43,-0.57%,"3,131,210,281.89"
